Key,en,es,ar,fr
verify OTP,Verify OTP,Verificar OTP,هل تريد حذف حسابك؟,Vérifier OTP
fees And Charges,Fees & Charges,Tarifas y Cargos,التحقق من OTP,Frais et Charges
received,Received,Recibido,الرسوم والرسوم,Reçu
total Fee,Total Fee,Tarifa Total,تم استلامه,Frais Total
log Message,Do You Want To Sign Out?,¿Desea Cerrar Sesión?,إجمالي الرسوم,Voulez-vous vous déconnecter ?
make Default,Make Default,Establecer como Predeterminado,هل ترغب في تسجيل الخروج؟,Définir par Défaut
remove Default,Remove Default,Quitar Predeterminado,اجعلها الافتراضية,Supprimer par Défaut
add Money Log,Add Money Log,Registro de Agregar Dinero,إزالة الافتراضية,Journal d'ajout d'argent
withdraw Log,Withdraw Money Log,Registro de Retirar Dinero,سجل إضافة الأموال,Journal de retrait d'argent
transfer Money Log,Remittance Log,Registro de Remesa,سجل سحب الأموال,Journal de transfert d'argent
merchant Payment Log,Make Payment Log,Registro de Hacer Pago,سجل الحوالة,Journal de paiement
add Sub Balance Log,Add Sub balance Log,Registro de Agregar Subsaldo,سجل عملية الدفع,Journal d'ajout de sous-solde
transaction Id,Tnx,Gracias,سجل إضافة الأرصدة الفرعية,Merci
total Received,Total Received,Total Recibido,شكرا,Total Reçu
remark,Remark,Observación,المجموع المستلم,Remarque
time And Date,Time and Date,Fecha y Hora,ملاحظة,Heure et Date
recipient Amount,Recipient Amount,Monto del Destinatario,مبلغ المرسل,Montant du Bénéficiaire
request Amount,Request Amount,Monto de la Solicitud,مبلغ المستلم,Montant de la Demande
fee And Charge,Fee & Charge,Tarifa y Cargo,مبلغ الطلب,Frais et Charge
top Up Type,Top Up Type,,,
card Amount,Card Amount,Monto de la tarjeta,الرسوم والرسوم,Montant de la carte
card Masked,card Masked,Monto de la Tarjeta,مبلغ البطاقة,carte masquée
recipient Name,Recipient Name,Nombre de la destinataria,مبلغ البطاقة,Nom du destinataire
Change Language,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue
unsupported Country,Unsupported region / Permission Denied,país no compatible,بلد غير مدعوم,pays non pris en charge
already Have An Account,Already Have An Account?,Ya tienes una cuenta,هل لديك حساب,Vous avez déjà un compte
enter The OTP Code Send To,Enter The OTP Code Sent to,Ingrese el código OTP Enviar a,أدخل رمز OTP إرسال إلى,entrez le code OTP Envoi à
enter The Google Auth OTP Code,Enter OTP Code From Google Authenticator,Ingrese el código OTP de Google Auth,أدخل رمز Google Auth OTP,Entrez le code OTP Google Auth
OTP Verification,OTP Verification,Verificación OTP,التحقق من OTP,Vérification OTP
the Code Is Not Valid,The code is not valid,El código no es válido,الرمز غير صالح,Le code n'est pas valide
continue Label,Continue,Etiqueta Continuar,متابعة العلامة,Continuer l'étiquette
kYC Form Details,Please input all the fild for sign in to your account to get access to your dashboard.,Detalles del formulario de KYC,تفاصيل نموذج KYC,Détails du formulaire KYC
enter Business Name,Enter Business Name,Ingrese el nombre del negocio,أدخل اسم العمل,Entrez le nom de l'entreprise
business Name,Business Name,Nombre del Negocio,الاسم التجاري,nom d'entreprise
sender,Sender,remitente,مرسل,expéditeur
welcome Back To,Welcome Back to,Bienvenido de nuevo a,مرحبًا بك في,bon retour à
send Money Successfully,Your money has been send successfully. Thanks for using QRPAY Merchant,Enviar dinero con éxito,أرسل المال بنجاح,Envoyer de l'argent avec succès
gateway Balance,Gateway Balance,equilibrio de puerta de enlace,توازن البوابة,Balance de la passerelle
received Balance,Received Balance,Saldo recibido,تلقي التوازن,Balance reçue
your Money Withdraw Success,Your money has been withdraw Successfully. Thanks for using QRPAY Merchant,Su dinero retira el éxito,أموالك تسحب النجاح,Votre argent retrait le succès
back To Home,Back to Home,de vuelta a casa,العودة إلى المنزل,de retour à la maison
your Money Has Been Failed,Your money has been Failed..!! Try Again! Thanks for using QRPAY Merchant,Tu dinero ha fallado,لقد فشل أموالك,Votre argent a échoué
electricity,Electricity,electricidad,كهرباء,électricité
update KYC Form,Update KYC Form,Actualizar el formulario KYC,تحديث نموذج KYC,mettre à jour le formulaire KYC
fA Security,2FA Security,Seguridad de FA,أمن فا,sécurité de la FA
enable fA Security,Enable 2FA Security,Habilitar la seguridad de FA,تمكين أمن FA,Activer la sécurité de la FA
two Fa Security,2FA Security,Dos seguridad FA,اثنان من الأمن FA,Deux sécurité de la FA
two FA Details,We’ll ask for a verification code via your security method if we notice a login from an unrecogn-ized device or browser. Enable your 2FA Security,Dos detalles de FA,اثنين من تفاصيل FA,deux détails FA
your Two Security HA s Been Active,Your 2FA Security has been activate Successfully.,Sus dos seguridad han estado activas,كان أمنك نشطًا,Vos deux sécurité ont été actifs
flutter Wave Payment,Flutterwave Payment,pago de ondas de fluter,دفع موجة الرفرفة,Paiement des vagues de flottement
card Number,Card Number,número de tarjeta,رقم البطاقة,numéro de carte
total Withdraw Amount,Total Withdraw Amount,Monto total de retiro,إجمالي مبلغ السحب,Montant total de retrait
api Key,APIKey,Clave API,مفتاح API,clé API
primary Key,PrimaryKey,Clave primaria,المفتاح الأساسي,clé primaire
secret Key,Secret Key,llave secreta,المفتاح السري,clef secrète
production Live,Go To Production Mode,producción en vivo,الإنتاج المباشر,production en direct
production Sand Box,Go To SandBox Mode,caja de arena de producción,صندوق الرمال الإنتاج,Boîte de sable de production
developer API,Developer API,API de desarrollador,مطور API,API développeur
sand Box,SandBox,caja de arena,صندوق الرمال,bac à sable
mode On,Mode On,modo,الوضع على,mode
mode Off,Mode Off,modo apagado,وضع قبالة,mode désactivé
gateway Settings,Gateway Settings,Configuración de puerta de enlace,إعدادات البوابة,Paramètres de passerelle
all Settings,All Settings,todos los ajustes,جميع الإعدادات,tous les paramètres
wallet Balance,Wallet Balance,equilibrio de billetera,توازن المحفظة,équilibre du portefeuille
master Or Visa Card,Master / OR Visa Card,tarjeta de maestro o visa,بطاقة الماجستير أو التأشيرة,carte maître ou visa
enable Or Disable This Features,Enable Or Disable This Features,habilitar o deshabilitar estas características,تمكين أو تعطيل هذه الميزات,Activer ou désactiver ces fonctionnalités
production Mode Info,Do You want to change your api key?,Información en modo de producción,معلومات وضع الإنتاج,Informations sur le mode de production
copied To Clip Board,Copied to clipboard,Copiado al portapapeles,نسخ إلى الحافظة,copié dans le presse-papier
received Payment Log,Received Payment Log,Registro de pago recibido,تلقي سجل الدفع,Journal de paiement reçu
type,Type,tipo,يكتب,taper
payment Amount,Payment Amount,monto del pago,مبلغ الدفع,montant du paiement
changeThemes,Change Themes,Cambiar temas,تغيير الموضوعات,Cambiar temas
stripePayment,Stripe Payment,Pago de rayas,دفع الشريط,Pago de rayas
Create Link,Create Link,Crear enlace,إنشاء رابط,Créer un lien
Created At,Created At,Creado en,أنشئت في,Créé à
Customers Choose What To Pay,Customers Choose What To Pay,Los clientes eligen qué pagar,يختار العملاء ما يدفعونه,Les clients choisissent quoi payer
Payment Page,Payment Page,Página de pago,صفحة الدفع,Page de paiement
Give customers more detail about what they're paying for.,Give customers more detail about what they're paying for.,Dé a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.,Donnez aux clients plus de détails sur ce qu'ils paient.
Select One,Select One,Seleccione uno,حدد واحدة,En sélectionner un
Set limits,Set limits,Pon límites,ضع الحدود,Fixer des limites
Unit Price,Unit Price,Precio unitario,سعر الوحدة,Prix ​​unitaire
Name on card,Name on card,Nombre en la tarjeta,الاسم على البطاقة,Nom sur la carte
Pay faster on,Pay faster on,Pagar más rápido,دفع أسرع على,Payer plus vite
Pay,Pay,Pagar,يدفع,Payer
Pay with Debit & Credit Card,Pay with Debit & Credit Card,Pagar con tarjeta de débito y crédito,ادفع مع بطاقة الخصم والائتمان,Payer avec une carte de débit et de crédit
Go To Home,Go To Home,Ir a casa,اذهب إلى المنزل,Aller à la maison
Payment Again,Payment Again,Pago nuevamente,الدفع مرة أخرى,Paiement à nouveau
visa,Visa,Visa,تأشيرة,Visa
request Money,Request Money,Pedir dinero,طلب المال,Demande de l'argent
request Money Log,Request Money Log,Solicitar registro de dinero,طلب سجل المال,Demander un journal monétaire
coin Gate Payment,Coingate Payment,Pago,الدفع الطلاء,Paiement
no Record Found,noRecordFound,ningún record fue encontrado,لا يوجد سجلات,Aucun Enregistrement Trouvé
balance,Balance,Balance,توازن,Équilibre
fund Amount,Fund Amount,Monto del fondo,مبلغ الصناديق,Montant du fonds
total Pay,Total Pay,Pago total,إجمالي الأجور,Salaire total
card Information,Card Information,Información de la tarjeta,معلومات البطاقة,Informations sur la carte
reveal Details,Reveal Details,Revelar detalles,الكشف عن التفاصيل,Révéler des détails
freeze Card,Freeze Card,Tarjeta congelada,بطاقة تجميد,Congeoir
currency,Currency,Divisa,عملة,Devise
brand,Brand,Marca,ماركة,Marque
availabe Blance,Available Balance,Saldo disponible,الرصيد المتوفر,Solde disponible
payments,Payments,Pagos,المدفوعات,Paiements
update Link,Update Link,Enlace de actualización,ارتباط تحديث,Mettre à jour le lien
payments Log,Payments Log,Registro de pagos,سجل المدفوعات,Journal de paiement
payment Link Edit,Payment Link Edit,Enlace de pago Editar,تحرير رابط الدفع,Lien de paiement Modifier
closeS,Close,Cerca,يغلق,Fermer
editS,Edit,Editar,يحرر,Modifier
unlimited,Unlimited,Ilimitado,غير محدود,Illimité
zero,0,0,0,0
select TypeS,Select Type,Seleccione tipo,اختر صنف,Sélectionner le genre
customer Choose,Customers choose what to pay,Los clientes eligen qué pagar,يختار العملاء ما يدفعونه,Les clients choisissent quoi payer
products Or SubscriptionsS,Products or Subscriptions,Productos o suscripciones,المنتجات أو الاشتراكات,Produits ou abonnements
imageS,Image,Imagen,صورة,Image
name Of Cause Or ServiceS,Name Of Cause Or Service,Nombre de la causa o servicio,اسم السبب أو الخدمة,Nom de cause ou de service
titleS,Title,Título,عنوان,Titre
descriptionS,Description,Descripción,وصف,Description
description Hint,Give customers more detail about what they’re paying for.,Dé a los clientes más detalles sobre lo que están pagando.,امنح العملاء مزيدًا من التفاصيل حول ما يدفعون مقابله.,Donnez aux clients plus de détails sur ce qu'ils paient.
set Limit,Set Limit,Límite establecido,حدد الحد,Limiter
enter Your Product Name,- Enter your product name,- Ingrese el nombre de su producto,- أدخل اسم منتجك,- Entrez le nom de votre produit
payment Link Created Successfully,Payment Link Created Successfully,Enlace de pago creado con éxito,رابط الدفع الذي تم إنشاؤه بنجاح,Lien de paiement créé avec succès
no Payment Created Yet,No payment created yet,No se creó el pago todavía,لم يتم إنشاء أي دفعة بعد,Aucun paiement créé encore
kyc Unverified Text,"Your Kyc is Unverified, Please verify your KYC","Su KYC no está verificado, verifique su KYC",KYC الخاص بك لم يتم التحقق منه ، يرجى التحقق من KYC الخاص بك,"Votre KYC n'est pas vérifié, veuillez vérifier votre KYC"
kyc Pending Text,Your KYC verification is pending,Tu verificación de KYC está pendiente,التحقق من KYC الخاص بك معلق,Votre vérification KYC est en attente
kyc Rejected Text,Your KYC verification is Rejected,Tu verificación de KYC es rechazada,تم رفض التحقق من KYC الخاص بك,Votre vérification KYC est rejetée
link Copied Successfully,Link Copied Successfully,Enlace copiado con éxito,رابط نسخ بنجاح,Lien copié avec succès
link Edited Successfully,Link Edited Successfully,Enlace editado con éxito,LINK edied بنجاح,Lien édité avec succès
from Gallery,From Gallery,De la galería,من المعرض,De la galerie
from Camera,From Camera,De la cámara,من الكاميرا,De la caméra
copy,Copy,Copiar,ينسخ,Copie
reject,Reject,Rechazar,يرفض,Rejeter
approve,Approve,Aprobar,يعتمد,Approuver
request Type,Request Type,tipo de solicitud,نوع الطلب,type de demande
request Money Success,Request Money Request Send Successful,Solicitud de dinero Solicitud Enviar exitoso,طلب طلب المال إرسال ناجح,Demande de demande d'argent Envoyer un succès
pay Link,Pay Link,Enlace de pago,رابط الدفع,Lien de rémunération
create Link,Create Link,Crear enlace,إنشاء رابط,Créer un lien
Minimum amount,Minimum Amount,Monto minimo,الحد الأدنى للمبلغ,Montant minimal
Maximum amount,Maximum Amount,Cantidad máxima,الحد الأقصى للمبلغ,Quantité maximale
explain Trx,Explain Transaction Purposes Here…,Explique los propósitos de transacción aquí ...,شرح أغراض المعاملة هنا ...,Expliquez les objectifs de la transaction ici…
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,هناك خطأ ما! حاول مرة اخرى.,Quelque chose s'est mal passé! Veuillez réessayer.
Verification code sended to your email address.,Verification code sended to your email address.,Código de verificación enviado a su dirección de correo electrónico.,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني.,Code de vérification envoyé à votre adresse e-mail.
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور,Le jeton de réinitialisation du mot de passe expiré
Verification code already used,Verification code already used,Código de verificación ya utilizado,رمز التحقق المستخدم بالفعل,Code de vérification déjà utilisé
Session expired. Please try again.,Session expired. Please try again.,Sesión expirada. Inténtalo de nuevo.,انتهت الجلسة. حاول مرة اخرى.,La session a expiré. Veuillez réessayer.
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من OTP غير صالح,Vérification OTP n'est pas valide
You can resend verification code after,You can resend verification code after,Puede reenviar el código de verificación después de,يمكنك إعادة تقديم رمز التحقق بعد,Vous pouvez renvoyer le code de vérification après
seconds,seconds,segundos,ثوان,secondes
Verification code resend success,Verification code resend success,Código de verificación Resen el éxito,رمز التحقق من إعادة تقديم النجاح,Succès de renvoi du code de vérification
Password reset success. Please login with new password.,Password reset success. Please login with new password.,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña.,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة.,Réinitialisation du mot de passe Succès. Veuillez vous connecter avec un nouveau mot de passe.
"User already  exists, please try with another email","User already  exists, please try with another email","El usuario ya existe, intente con otro correo electrónico",المستخدم موجود بالفعل ، يرجى المحاولة عبر بريد إلكتروني آخر,"L'utilisateur existe déjà, veuillez essayer avec un autre e-mail"
Verification code does not match,Verification code does not match,El código de verificación no coincide,رمز التحقق لا يتطابق,Le code de vérification ne correspond pas
Otp successfully verified,Otp successfully verified,OTP verificado con éxito,تم التحقق من OTP بنجاح,OTP a vérifié avec succès
User Registration KYC,User Registration KYC,Registro de usuarios KYC,تسجيل المستخدم KYC,Enregistrement des utilisateurs KYC
Phone number is already exists,Phone number is already exists,El número de teléfono ya existe,رقم الهاتف موجود بالفعل,Le numéro de téléphone existe déjà
User Registration,User Registration,registro de usuario,تسجيل المستخدم,Enregistrement de l'utilisateur
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر,Mot de passe oublié
Verify User,Verify User,Verificar el usuario,تحقق من المستخدم,Vérifier l'utilisateur
Reset Password Page,Reset Password Page,Restablecer la página de contraseña,إعادة تعيين صفحة كلمة المرور,Réinitialiser la page du mot de passe
User Login,User Login,Inicio de sesión de usuario,تسجيل الدخول المستخدم,Utilisateur en ligne
Please submit kyc information!,Please submit kyc information!,¡Envíe información de KYC!,يرجى تقديم معلومات KYC!,Veuillez soumettre des informations KYC!
Please wait before admin approved your kyc information,Please wait before admin approved your kyc information,Espere antes de que el administrador aprobara su información de KYC,يرجى الانتظار قبل موافقة المسؤول على معلومات KYC الخاصة بك,Veuillez patienter avant que l'administrateur n'approbore vos informations KYC
"Admin rejected your kyc information, Please re-submit again","Admin rejected your kyc information, Please re-submit again","Admin rechazó su información de KYC, vuelva a suponer nuevamente",رفض المسؤول معلومات KYC الخاصة بك ، يرجى إعادة تقديم مرة أخرى,"L'administrateur a rejeté vos informations KYC, veuillez vous soumettre à nouveau"
Transaction failed. Record didn\'t saved properly. Please try again,Transaction failed. Record didn\'t saved properly. Please try again,Transacción fallida. El registro no se guardó correctamente. Inténtalo de nuevo,فشل الاجراء. سجل لم يتم حفظه بشكل صحيح. حاول مرة اخرى,La transaction a échoué. Enregistrement n'a pas été enregistré correctement. Veuillez réessayer
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada con éxito!,تم إرسال طلب المعاملة بنجاح!,Demande de transaction envoyée avec succès!
Successfully Added Money,Successfully Added Money,Dinero agregado con éxito,أضافت الأموال بنجاح,Ajout de l'argent avec succès
Manual Payment,Manual Payment,Pago manual,الدفع اليدوي,Paiement manuel
Add money cancelled,Add money cancelled,Agregar dinero cancelado,أضف المال الملغى,Ajouter de l'argent annulé
Transaction failed,Transaction failed,Transacción fallida,فشل الاجراء,La transaction a échoué
Added Money Failed,Added Money Failed,El dinero agregado falló,فشل الأموال المضافة,L'argent supplémentaire a échoué
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق,Le hachage de transaction est requis pour vérifier
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡La transacción hash no es válida! Ingrese un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة,Le hachage de transaction n'est pas valide! Veuillez saisir un hachage valide
Insufficient amount added. Please contact with system administrator,,#VALUE!,#VALUE!,#VALUE!
Your Wallet,Your Wallet,Tu billetera,محفظتك,Ton portefeuille
balance  has been added,balance  has been added,Se ha agregado el equilibrio,تمت إضافة التوازن,L'équilibre a été ajouté
By,By,Por,بواسطة,Par
Gateway Information is not available. Please provide payment gateway currency alias,Gateway Information is not available. Please provide payment gateway currency alias,La información de la puerta de enlace no está disponible. Proporcione alias de divisas de pasarela de pago,معلومات البوابة غير متوفرة. يرجى تقديم الاسم المستعار لعملة بوابة الدفع,Les informations sur la passerelle ne sont pas disponibles. Veuillez fournir un alias de monnaie de passerelle de paiement
Gateway not available,Gateway not available,Puerta de entrada no disponible,بوابة غير متوفرة,Passerelle non disponible
User wallet not found,User wallet not found!,¡Billetera de usuario no encontrada!,محفظة المستخدم لم يتم العثور عليها!,Portefeuille utilisateur introuvable!
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacción,يرجى اتباع حد المعاملة,Veuillez suivre la limite de transaction
Gateway currency not found,Gateway currency not found,Moneda de puerta de enlace no encontrada,لم يتم العثور على عملة البوابة,Devise de passerelle introuvable
Render Failed! Please call with valid gateway/credentials,Render Failed! Please call with valid gateway/credentials,Render falló! Llame con una puerta de enlace/credenciales válidas,قدم فشل! يرجى الاتصال مع بوابة/بيانات الاعتماد صالحة,Rendu a échoué! Veuillez appeler avec une passerelle / des informations d'identification valides
Request user doesn\'t save properly. Please try again,Request user doesn\'t save properly. Please try again,Solicitar el usuario no guarda correctamente. Inténtalo de nuevo,طلب المستخدم لا يحفظ بشكل صحيح. حاول مرة اخرى,Demandez à l'utilisateur ne sauve pas correctement. Veuillez réessayer
Transaction Failed. Gateway currency not available,Transaction Failed. Gateway currency not available,Transacción fallida. Moneda de puerta de enlace no disponible,فشل الاجراء. عملة البوابة غير متوفرة,La transaction a échoué. Gateway Currency non disponible
Something went wrong! Gateway render failed. Please call gateway() method before calling api() method,Something went wrong! Gateway render failed. Please call gateway() method before calling api() method,¡Algo salió mal! Gateway Render falló. Llame al método Gateway () antes de llamar al método API (),هناك خطأ ما! فشل عرض البوابة. يرجى استدعاء طريقة Gateway () قبل استدعاء طريقة API (),Quelque chose s'est mal passé! Le rendu de passerelle a échoué. Veuillez appeler la méthode Gateway () avant d'appeler la méthode API ()
Something went wrong! Failed to make URL Params.,Something went wrong! Failed to make URL Params.,¡Algo salió mal! No se pudo hacer parámetros de URL.,هناك خطأ ما! فشل في جعل معاملات URL.,Quelque chose s'est mal passé! Impossible de faire des paramètres d'URL.
Gateway not found,Gateway not found,Puerta de entrada no encontrada,بوابة لم يتم العثور عليها,Passerelle introuvable
Failed to create developer API. Something went wrong!,Failed to create developer API. Something went wrong!,No se pudo crear API de desarrollador. ¡Algo salió mal!,فشل في إنشاء مطور API. هناك خطأ ما!,Échec de la création de l'API du développeur. Quelque chose s'est mal passé!
Failed to create Gateway Settings. Something went wrong!,Failed to create Gateway Settings. Something went wrong!,No se pudo crear la configuración de la puerta de enlace. ¡Algo salió mal!,فشل في إنشاء إعدادات بوابة. هناك خطأ ما!,Échec de la création de paramètres de passerelle. Quelque chose s'est mal passé!
Failed to create wallet! Please try again,Failed to create wallet! Please try again,¡No se pudo crear billetera! Inténtalo de nuevo,فشل في إنشاء محفظة! حاول مرة اخرى,N'a pas réussi à créer un portefeuille! Veuillez réessayer
Payment gateway not available,Payment gateway not available,Pasarela de pago no disponible,بوابة الدفع غير متوفرة,Passerelle de paiement non disponible
Oops! Request endpoint not registered!,Oops! Request endpoint not registered!,¡Ups! ¡Solicite punto final no registrado!,أُووبس! طلب نقطة النهاية غير مسجلة!,Oops! Demandez le point de terminaison non enregistré!
Add Money request send to admin successfully,Add Money request send to admin successfully,Agregar solicitud de dinero Enviar al administrador correctamente,أضف طلب المال إرسال إلى المسؤول بنجاح,Ajouter une demande d'argent envoyer à l'administrateur avec succès
Transaction failed. Payment captured failed.,Transaction failed. Payment captured failed.,Transacción fallida. El pago capturado falló.,فشل الاجراء. فشلت المدفوعات التي تم التقاطها.,La transaction a échoué. Le paiement capturé a échoué.
Payment From PayLink,Payment From PayLink,Pago de PayLink,الدفع من Paylink,Paiement de PayLink
Successful,Successful,Exitoso,ناجح,Réussi
Gateway is not available right now! Please contact with system administration,Gateway is not available right now! Please contact with system administration,¡Gateway no está disponible en este momento! Póngase en contacto con la administración del sistema,البوابة غير متوفرة الآن! يرجى الاتصال مع إدارة النظام,Gateway n'est pas disponible pour le moment! Veuillez contacter avec l'administration du système
No Action Executed!,No Action Executed!,¡No hay acción ejecutada!,لم ينفذ أي إجراء!,Aucune action exécutée!
Can't change anything for demo application,Can't change anything for demo application,No puedo cambiar nada para la aplicación de demostración,لا يمكن تغيير أي شيء للتطبيق التجريبي,Ne peut rien changer pour l'application de démonstration
Can't deletable system super admin,Can't deletable system super admin,No se puede eliminar el súper administrador del sistema,لا يمكن حذف نظام Super Admin,Impossible de supprimer le système Super Admin
Can't delete account by yourself.,Can't delete account by yourself.,No se puede eliminar la cuenta usted mismo.,لا يمكنك حذف الحساب بنفسك.,Je ne peux pas supprimer le compte par vous-même.
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.,Vous devez d'abord configurer votre courrier système.
Target role not found!,Target role not found!,¡Rol de objetivo no encontrado!,الدور المستهدف لم يتم العثور عليه!,Rôle cible introuvable!
Super admin role can't deletable.,Super admin role can't deletable.,El rol super administrador no puede deletable.,دور المشرف السوبر لا يمكن حذفه.,Le rôle de super administrateur ne peut pas supprimer.
Sorry! You don't have permission to access admin dashboard.,Sorry! You don't have permission to access admin dashboard.,¡Lo siento! No tiene permiso para acceder al tablero de administración.,آسف! ليس لديك إذن للوصول إلى لوحة معلومات المشرف.,Désolé! Vous n'avez pas la permission d'accéder au tableau de bord d'administration.
"Sorry, You are unauthorized merchant user","Sorry, You are unauthorized merchant user","Lo siento, eres usuario comercial no autorizado",آسف ، أنت مستخدم تجاري غير مصرح به,"Désolé, vous êtes un utilisateur marchand non autorisé"
Account Is Deactivated,Account Is Deactivated,La cuenta está desactivada,يتم إلغاء تنشيط الحساب,Le compte est désactivé
Email verification is required,Email verification is required,Se requiere verificación por correo electrónico,التحقق من البريد الإلكتروني مطلوب,La vérification par e-mail est requise
Sms verification is required,Sms verification is required,Se requiere la verificación de SMS,مطلوب التحقق من الرسائل القصيرة,La vérification SMS est requise
Please verify two factor authentication,Please verify two factor authentication,Verifique la autenticación de dos factores,يرجى التحقق من اثنين من مصادقة عامل,Veuillez vérifier l'authentification à deux facteurs
2fa verification is required,2fa verification is required,Se requiere una verificación de 2FA,2FA التحقق مطلوب,La vérification 2FA est requise
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Verifique su dirección de correo. Verifique su bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الخاص بك للحصول على رمز التحقق,Veuillez vérifier votre adresse courante. Vérifiez votre boîte de réception pour obtenir le code de vérification
"Sorry, You are unauthorized user","Sorry, You are unauthorized user","Lo siento, eres usuario no autorizado",آسف ، أنت مستخدم غير مصرح به,"Désolé, vous êtes un utilisateur non autorisé"
Your KYC information is pending. Please wait for admin confirmation.,Your KYC information is pending. Please wait for admin confirmation.,Su información de KYC está pendiente. Espere la confirmación del administrador.,معلوماتك KYC معلقة. يرجى انتظار تأكيد المسؤول.,Vos informations KYC sont en attente. Veuillez attendre la confirmation de l'administration.
Your KYC information is rejected. Please submit again your information to admin.,Your KYC information is rejected. Please submit again your information to admin.,Su información de KYC es rechazada. Envíe nuevamente su información al administrador.,تم رفض معلومات KYC الخاصة بك. يرجى إرسال معلوماتك مرة أخرى إلى المسؤول.,Vos informations KYC sont rejetées. Veuillez soumettre à nouveau vos informations à l'administrateur.
Please verify your KYC information before any transactional action,Please verify your KYC information before any transactional action,Verifique su información de KYC antes de cualquier acción transaccional,يرجى التحقق من معلومات KYC قبل أي إجراء معاملات,Veuillez vérifier vos informations KYC avant toute action transactionnelle
Account successfully verified,Account successfully verified,Cuenta verificada con éxito,الحساب تم التحقق منه بنجاح,Compte vérifié avec succès
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC,Vous êtes déjà KYC vérifié l'utilisateur
Authorize Google Two Factor,Authorize Google Two Factor,Autorizar el factor de Google Two,تفويض Google عاملين,Autoriser Google Two Factor
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su llave secreta no se almacena correctamente. Póngase en contacto con el administrador del sistema,مفتاحك السري لم يتم تخزينه بشكل صحيح. يرجى الاتصال بمسؤول النظام,Votre clé secrète n'est pas stockée correctement. Veuillez contacter avec l'administrateur système
Failed to login. Please try again,Failed to login. Please try again,Error al iniciar sesión. Inténtalo de nuevo,فشل في تسجيل الدخول. حاول مرة اخرى,Échec de la connexion. Veuillez réessayer
"Sorry, insufficient balance","Sorry, insufficient balance","Lo siento, equilibrio insuficiente",آسف ، توازن غير كاف,"Désolé, un équilibre insuffisant"
Bill pay request send to admin successful,Bill pay request send to admin successful,Solicitud de pago de facturas Enviar al administrador exitoso,طلب دفع الفاتورة إرسال إلى المسؤول ناجح,Demande de paie de facture Envoyer à l'administrateur réussi
Bill Pay Information,Bill Pay Information,Información de pago de facturas,معلومات دفع الفواتير,Informations sur la facture
Invalid bill type,Invalid bill type,Tipo de factura no válido,نوع فاتورة غير صالح,Type de facture non valide
Logout Successfully!,Logout Successfully!,¡Cerrar sesión con éxito!,تسجيل الخروج بنجاح!,Déconnectez-vous avec succès!
Invalid request,Invalid request,Solicitud no válida,طلب غير صالح,Requête invalide
Not found,Not found,Extraviado,غير معثور عليه,Pas trouvé
nvalid merchant,nvalid merchant,comerciante nvalid,التاجر nvalid,marchand nvalide
Your profile deleted successfully!,Your profile deleted successfully!,¡Tu perfil se eliminó con éxito!,تم حذف ملف التعريف الخاص بك بنجاح!,Votre profil a supprimé avec succès!
User Dashboard,User Dashboard,Tablero de usuarios,لوحة معلومات المستخدم,Tableau de bord utilisateur
Password successfully updated!,Password successfully updated!,Contraseña actualizada correctamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe à jour avec succès!
Current password didn't match,Current password didn't match,La contraseña actual no coincidió,كلمة المرور الحالية لا تتطابق,Le mot de passe actuel ne correspond pas
